nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
Chile,19458310,756102,América
Colombia,51874024,1141748,América
México,128932753,1964375,América
Estados Unidos,331002651,9833517,América
Canadá,37742154,9984670,América
Japón,125800000,377975,Asia
China,1439323776,9596960,Asia
India,1380004385,3287263,Asia
Corea del Sur,51780579,100210,Asia
Indonesia,273523615,1904569,Asia
Alemania,83149300,357022,Europa
Francia,67391582,551695,Europa
España,46754778,505990,Europa
Italia,60461826,301340,Europa
Reino Unido,67886011,243610,Europa
Rusia,145934462,17098242,Europa
Nigeria,206139589,923768,África
Sudáfrica,59308690,1219090,África
Egipto,102334404,1002450,África
Etiopía,114963588,1104300,África
Australia,25499884,7692024,Oceanía
Nueva Zelanda,5002100,270467,Oceanía
